Date,Type,Quantity
2017-11-10,has_opinion,250
2017-11-10,no_opinion,250
2017-11-11,has_opinion,273
2017-11-11,no_opinion,227
2017-11-12,has_opinion,215
2017-11-12,no_opinion,285
2017-11-13,has_opinion,136
2017-11-13,no_opinion,364
2017-10-02,has_opinion,193
2017-10-02,no_opinion,307
2017-11-14,has_opinion,175
2017-11-14,no_opinion,325
2017-10-03,has_opinion,84
2017-10-03,no_opinion,416
2017-11-15,has_opinion,250
2017-11-15,no_opinion,250
2017-10-04,has_opinion,195
2017-10-04,no_opinion,305
2017-11-16,has_opinion,79
2017-11-16,no_opinion,421
2017-10-05,has_opinion,187
2017-10-05,no_opinion,313
2017-11-17,has_opinion,279
2017-11-17,no_opinion,221
2017-10-06,has_opinion,137
2017-10-06,no_opinion,363
2017-11-18,has_opinion,294
2017-11-18,no_opinion,206
2017-11-19,has_opinion,238
2017-11-19,no_opinion,262
2017-10-08,has_opinion,133
2017-10-08,no_opinion,367
2017-10-09,has_opinion,165
2017-10-09,no_opinion,335
2017-11-20,has_opinion,300
2017-11-20,no_opinion,200
2017-11-21,has_opinion,166
2017-11-21,no_opinion,334
2017-10-10,has_opinion,150
2017-10-10,no_opinion,350
2017-11-22,has_opinion,125
2017-11-22,no_opinion,375
2017-10-11,has_opinion,192
2017-10-11,no_opinion,308
2017-11-23,has_opinion,167
2017-11-23,no_opinion,333
2017-10-12,has_opinion,90
2017-10-12,no_opinion,410
2017-11-24,has_opinion,250
2017-11-24,no_opinion,250
2017-10-13,has_opinion,50
2017-10-13,no_opinion,450
2017-11-25,has_opinion,150
2017-11-25,no_opinion,350
2017-11-26,has_opinion,150
2017-11-26,no_opinion,350
2017-10-15,has_opinion,125
2017-10-15,no_opinion,375
2017-11-27,has_opinion,225
2017-11-27,no_opinion,275
2017-10-16,has_opinion,63
2017-10-16,no_opinion,437
2017-11-28,has_opinion,225
2017-11-28,no_opinion,275
2017-10-17,has_opinion,131
2017-10-17,no_opinion,369
2017-11-29,has_opinion,275
2017-11-29,no_opinion,225
2017-10-18,has_opinion,89
2017-10-18,no_opinion,411
2017-10-19,has_opinion,107
2017-10-19,no_opinion,393
2017-11-30,has_opinion,277
2017-11-30,no_opinion,223
2017-10-20,has_opinion,33
2017-10-20,no_opinion,467
2017-10-21,has_opinion,107
2017-10-21,no_opinion,393
2017-10-22,has_opinion,200
2017-10-22,no_opinion,300
2017-10-23,has_opinion,251
2017-10-23,no_opinion,249
2017-10-24,has_opinion,52
2017-10-24,no_opinion,448
2017-10-25,has_opinion,158
2017-10-25,no_opinion,342
2017-10-26,has_opinion,105
2017-10-26,no_opinion,395
2017-10-27,has_opinion,132
2017-10-27,no_opinion,368
2017-10-28,has_opinion,280
2017-10-28,no_opinion,220
2017-10-29,has_opinion,105
2017-10-29,no_opinion,395
2017-10-30,has_opinion,111
2017-10-30,no_opinion,389
2017-10-31,has_opinion,167
2017-10-31,no_opinion,333
2017-11-01,has_opinion,87
2017-11-01,no_opinion,413
2017-11-02,has_opinion,185
2017-11-02,no_opinion,315
2017-11-03,has_opinion,211
2017-11-03,no_opinion,289
2017-11-04,has_opinion,126
2017-11-04,no_opinion,374
2017-11-05,has_opinion,233
2017-11-05,no_opinion,267
2017-11-06,has_opinion,183
2017-11-06,no_opinion,317
2017-11-07,has_opinion,168
2017-11-07,no_opinion,332
2017-11-08,has_opinion,150
2017-11-08,no_opinion,350
2017-11-09,has_opinion,175
2017-11-09,no_opinion,325