Date,HAS_OPINION,NO_OPINION
2017-10-02,193,307
2017-10-03,84,416
2017-10-04,195,305
2017-10-05,187,313
2017-10-06,137,363
2017-10-08,133,367
2017-10-09,165,335
2017-10-10,150,350
2017-10-11,192,308
2017-10-12,90,410
2017-10-13,50,450
2017-10-15,125,375
2017-10-16,63,437
2017-10-17,131,369
2017-10-18,89,411
2017-10-19,107,393
2017-10-20,33,467
2017-10-21,107,393
2017-10-22,200,300
2017-10-23,251,249
2017-10-24,52,448
2017-10-25,158,342
2017-10-26,105,395
2017-10-27,132,368
2017-10-28,280,220
2017-10-29,105,395
2017-10-30,111,389
2017-10-31,167,333
2017-11-01,87,413
2017-11-02,185,315
2017-11-03,211,289
2017-11-04,126,374
2017-11-05,233,267
2017-11-06,183,317
2017-11-07,168,332
2017-11-08,150,350
2017-11-09,175,325
2017-11-10,250,250
2017-11-11,273,227
2017-11-12,215,285
2017-11-13,136,364
2017-11-14,175,325
2017-11-15,250,250
2017-11-16,79,421
2017-11-17,279,221
2017-11-18,294,206
2017-11-19,238,262
2017-11-20,300,200
2017-11-21,166,334
2017-11-22,125,375
2017-11-23,167,333
2017-11-24,250,250
2017-11-25,150,350
2017-11-26,150,350
2017-11-27,225,275
2017-11-28,225,275
2017-11-29,275,225
2017-11-30,277,223